תאריך,מסכת,פרק,משנה,סימן,סעיף
01/01/2015,כלים,יב,ד-ה,תקיט,ג-ה
02/01/2015,כלים,יב,ו-ז,תקכ-א,א-ב
03/01/2015,כלים,יב-יג,ח-א,תקכא-ב,ג-ב
04/01/2015,כלים,יג,ב-ג,תקכב-ג,ג-א
05/01/2015,כלים,יג,ד-ה,תקכג,ב-ד
06/01/2015,כלים,יג,ו-ז,תקכד-ה,א-א
07/01/2015,כלים,יג-יד,ח-א,תקכה-ו,ב-ב
08/01/2015,כלים,יד,ב-ג,תקכו,ג-ה
09/01/2015,כלים,יד,ד-ה,תקכו,ו-ח
10/01/2015,כלים,יד,ו-ז,תקכו,ט-יא
11/01/2015,כלים,יד-טו,ח-א,תקכו-ז,יב-ב
12/01/2015,כלים,טו,ב-ג,תקכז,ג-ה
13/01/2015,כלים,טו,ד-ה,תקכז,ו-ח
14/01/2015,כלים,טו-טז,ו-א,תקכז,ט-יא
15/01/2015,כלים,טז,ב-ג,תקכז,יב-יד
16/01/2015,כלים,טז,ד-ה,תקכז,טו-יז
17/01/2015,כלים,טז,ו-ז,תקכז,יח-כ
18/01/2015,כלים,טז-יז,ח-א,תקכז,כא-כג
19/01/2015,כלים,יז,ב-ג ,תקכז-ח,כד-ב
20/01/2015,כלים,יז,ד-ה,תקכט,א-ג
21/01/2015,כלים,יז,ו-ז,תקכט-ל-א,ד-א
22/01/2015,כלים,יז,ח-ט,תקלא,ב-ד
23/01/2015,כלים,יז,י-יא,תקלא,ה-ז
24/01/2015,כלים,יז,יב-יג,תקלא-ב,ח-ב
25/01/2015,כלים,יז,יד-טו,תקלג,א-ג
26/01/2015,כלים,יז,טז-יז,תקלג-ד,ד-א
27/01/2015,כלים,יח,א-ב,תקלד-ה,ב-א
28/01/2015,כלים,יח,ג-ד,תקלה-ו,ב-א
29/01/2015,כלים,יח,ה-ו,תקלו,ב-ד
30/01/2015,כלים,יח,ז-ח,תקלז,א-ג
31/01/2015,כלים,יח-יט,ט-א,תקלז,ד-ו
01/02/2015,כלים,יט,ב-ג,תקלז,ז-ט
02/02/2015,כלים,יט,ד-ה,תקלז,י-יב
03/02/2015,כלים,יט,ו-ז,תקלז,יג-טו
04/02/2015,כלים,יט,ח-ט,תקלז-ח,טז-ב
05/02/2015,כלים,יט-כ,י-א,תקלח,ג-ה
06/02/2015,כלים,כ,ב-ג,תקלח-ט,ו-ב
07/02/2015,כלים,כ,ד-ה,תקלט,ג-ה
08/02/2015,כלים,כ,ו-ז,תקלט,ו-ח
09/02/2015,כלים,כא,א-ב,תקלט,ט-יא
10/02/2015,כלים,כא-כב,ג-א,תקלט,יב-יד
11/02/2015,כלים,כב,ב-ג,תקמ,א-ג
12/02/2015,כלים,כב,ד-ה,תקמ,ד-ו
13/02/2015,כלים,כב,ו-ז,תקמ-א,ז-א
14/02/2015,כלים,כב,ח-ט,תקמא,ב-ד
15/02/2015,כלים,כב-כג,י-א,תקמא-ב,ה-ב
16/02/2015,כלים,כג,ב-ג,תקמג,א-ג
17/02/2015,כלים,כג,ד-ה,תקמד-ה,א-א
18/02/2015,כלים,כד,א-ב,תקמה,ב-ד
19/02/2015,כלים,כד,ג-ד,תקמה,ה-ז
20/02/2015,כלים,כד,ה-ו,תקמה,ח-י
21/02/2015,כלים,כד,ז-ח,תקמה-ו,יא-ב
22/02/2015,כלים,כד,ט-י,תקמו,ג-ה
23/02/2015,כלים,כד,יא-יב,תקמז,א-ג
24/02/2015,כלים,כד,יג-יד,תקמז,ד-ו
25/02/2015,כלים,כד,טו-טז,תקמז,ז-ט
26/02/2015,כלים,כד-כה,יז-א,תקמז,י-ב
27/02/2015,כלים,כה,ב-ג,תקמח,א-ג
28/02/2015,כלים,כה,ד-ה,תקמח,ד-ו
01/03/2015,כלים,כה,ו-ז,תקמח,ז-ט
02/03/2015,כלים,כה,ח-ט,תקמח,י-יב
03/03/2015,כלים,כו,א-ב,תקמח,יג-טו
04/03/2015,כלים,כו,ג-ד,תקמח,טז-יח
05/03/2015,כלים,כו,ה-ו,תקמח-ט,יט-א
06/03/2015,כלים,כו,ז-ח,תקמט-נ,ב-ב
07/03/2015,כלים,כו-כז,ט-א,תקנ-א,ג-א
08/03/2015,כלים,כז,ב-ג,תקנא,ב-ד
09/03/2015,כלים,כז,ד-ה,תקנא,ה-ז
10/03/2015,כלים,כז,ו-ז,תקנא,ח-י
11/03/2015,כלים,כז,ח-ט,תקנא,יא-יג
12/03/2015,כלים,כז,י-יא,תקנא,יד-טז
13/03/2015,כלים,כז-כח,יב-א,תקנא-ב,יז-א
14/03/2015,כלים,כח,ב-ג,תקנב,ב-ד
15/03/2015,כלים,כח,ד-ה,תקנב,ה-ז
16/03/2015,כלים,כח,ו-ז,תקנב,ח-י
17/03/2015,כלים,כח,ח-ט,תקנב-ג,יא-א
18/03/2015,כלים,כח-כט,י-א,תקנג-ד,ב-ב
19/03/2015,כלים,כט,ב-ג,תקנד,ג-ה
20/03/2015,כלים,כט,ד-ה,תקנד,ו-ח
21/03/2015,כלים,כט,ו-ז,תקנד,ט-יא
22/03/2015,כלים,כט-ל,ח-א,תקנד,יב-יד
23/03/2015,כלים,ל,ב-ג,תקנד,טו-יז
24/03/2015,כלים-אוהלות,ל-א,ד-א,תקנד,יח-כ
25/03/2015,אוהלות,א,ב-ג,תקנד,כא-כג
26/03/2015,אוהלות,א,ד-ה,תקנד-ה,כד-א
27/03/2015,אוהלות,א,ו-ז,תקנה-ו-ז,ב-א
28/03/2015,אוהלות,א-ב,ח-א,תקנח-ט,א-ב
29/03/2015,אוהלות,ב,ב-ג,תקנט,ג-ה
30/03/2015,אוהלות,ב,ד-ה,תקנט,ו-ח
31/03/2015,אוהלות,ב,ו-ז,תקנט-ס,ט-א
01/04/2015,אוהלות,ג,א-ב,תקס,ב-ד
02/04/2015,אוהלות,ג,ג-ד,תקס-א,ה-ב
03/04/2015,אוהלות,ג,ה-ו,תקסא,ג-ה
04/04/2015,אוהלות,ג-ד,ז-א,תקסב,א-ג
05/04/2015,אוהלות,ד,ב-ג,תקסב,ד-ו
06/04/2015,אוהלות,ה,א-ב,תקסב,ז-ט
07/04/2015,אוהלות,ה,ג-ד,תקסב,י-יב
08/04/2015,אוהלות,ה,ה-ו,תקסב-ג-ד,יג-א
09/04/2015,אוהלות,ה-ו,ז-א,תקסה,א-ג
10/04/2015,אוהלות,ו,ב-ג,תקסה,ד-ו
11/04/2015,אוהלות,ו,ד-ה,תקסו,א-ג
12/04/2015,אוהלות,ו,ו-ז,תקסו,ד-ו
13/04/2015,אוהלות,ז,א-ב,תקסו-ז,ז-א
14/04/2015,אוהלות,ז,ג-ד,תקסז-ח,ב-א
15/04/2015,אוהלות,ז,ה-ו,תקסח,ב-ד
16/04/2015,אוהלות,ח,א-ב,תקסח,ה-ז
17/04/2015,אוהלות,ח,ג-ד,תקסח,ח-י
18/04/2015,אוהלות,ח,ה-ו,תקסח-ט,יא-א
19/04/2015,אוהלות,ט,א-ב,תקסט-ע,ב-ב
20/04/2015,אוהלות,ט,ג-ד,תקע-א,ג-ב
21/04/2015,אוהלות,ט,ה-ו,תקעא-ב,ג-ב
22/04/2015,אוהלות,ט,ז-ח,תקעב-ג-ד,ג-א
23/04/2015,אוהלות,ט,ט-י,תקעד,ב-ד
24/04/2015,אוהלות,ט,יא-יב,תקעד-ה,ה-ב
25/04/2015,אוהלות,ט,יג-יד,תקעה,ג-ה
26/04/2015,אוהלות,ט,טו-טז,תקעה,ו-ח
27/04/2015,אוהלות,י,א-ב,תקעה,ט-יא
28/04/2015,אוהלות,י,ג-ד,תקעה-ו,יב-א
29/04/2015,אוהלות,י,ה-ו,תקעו,ב-ד
30/04/2015,אוהלות,י-יא,ז-א,תקעו,ה-ז
01/05/2015,אוהלות,יא,ב-ג,תקעו,ח-י
02/05/2015,אוהלות,יא,ד-ה,תקעו,יא-יג
03/05/2015,אוהלות,יא,ו-ז,תקעו,יד-טז
04/05/2015,אוהלות,יא,ח-ט,תקעז-ח-ט,א-א
05/05/2015,אוהלות,יב,א-ב,תקעט-פ,ב-א
06/05/2015,אוהלות,יב,ג-ד,תקפ-א,ב-א
07/05/2015,אוהלות,יב,ה-ו,תקפא,ב-ד
08/05/2015,אוהלות,יב,ז-ח,תקפב,א-ג
09/05/2015,אוהלות,יג,א-ב,תקפב,ד-ו
10/05/2015,אוהלות,יג,ג-ד,תקפב,ז-ט
11/05/2015,אוהלות,יג,ה-ו,תקפג-ד,א-א
12/05/2015,אוהלות,יד,א-ב,תקפד,ב-ד
